,character_id
67617,2
2429,2
4703,8
27621,2
69040,25
36464,1
14132,1
27768,8
18053,3
93,2
30578,8
24387,2
33960,139
71309,8
64337,139
35279,1
30940,2
57703,2
32497,17
81750,8
11628,9
4763,2
20894,8
9603,8
67309,8
80789,8
31769,8
82344,8
46775,8
59944,8
52326,9
28762,15
33169,2
5784,3
55349,2
62622,8
64047,11
69337,2
81440,8
27012,1
83591,15
61184,8
43207,1
70659,2
40028,2
75609,9
82855,8
43950,2
6315,2
1178,2
77377,9
31459,2
62932,31
81070,2
73384,17
79640,2
30503,2
38405,2
3926,1
65964,2
24634,8
5978,2
51815,8
62025,8
80896,8
81475,2
36710,8
71224,2
56544,2
58384,71
47274,2
706,8
9710,1
8396,15
62601,101
61841,25
7452,31
37302,17
74780,1
3062,1
71795,1
64167,17
26088,31
4251,2
60969,17
71306,2
10515,9
36146,8
59740,9
56155,2
74565,1
26695,2
53868,2
80460,8
42041,1
40396,2
41459,3
67267,2
9775,31
65045,165
38349,9
16591,8
19124,2
25025,101
33153,1
5759,2
64270,11
43173,17
37196,9
19461,2
20784,101
11548,1
16961,9
44682,9
77294,165
23168,11
62755,139
81330,2
18088,1
47855,8
30290,8
35675,2
68366,17
16227,8
82642,2
43901,17
2872,8
27357,2
2805,2
77775,2
64051,2
67839,2
6060,2
64144,9
45165,2
69649,1
33772,2
42759,15
61166,25
37025,8
11947,25
35091,2
42944,2
51396,15
4003,9
60619,3
65426,2
41069,1
14457,2
61389,3
58092,2
38047,2
71958,1
81425,8
62139,1
84524,31
84701,1
72107,31
50514,1
33201,1
84395,3
57271,2
10636,8
27450,2
64851,139
237,1
47882,2
83932,1
37405,2
18560,1
12697,1
26999,1
69410,2
77514,2
37737,15
48738,3
12823,9
67789,3
59902,2
58286,8
30909,1
17261,139
31736,2
78542,17
17185,2
34069,1
36241,9
335,1
14023,9
7981,1
40382,2
11481,2
47475,2
31537,1
30771,8
37200,9
30017,1
18071,1
16183,15
57266,139
39251,9
49863,2
73146,2
55839,1
39948,2
39198,2
50777,1
39238,8
16964,9
2596,2
51833,9
7682,25
59562,3
41416,9
80119,2
82121,2
29937,2
63471,8
18357,9
30601,1
37776,15
54431,2
50998,2
60416,1
51596,31
67086,2
26606,8
54855,8
7214,8
7574,2
26390,8
70147,165
31020,2
22766,1
45164,8
12443,31
78677,17
31595,9
22821,17
68635,2
29607,9
83796,31
12084,9
69464,2
19740,1
28408,1
13216,9
47335,2
75575,2
9758,2
55094,8
15688,2
27149,8
40848,8
8508,8
46841,2
15673,165
66317,8
29153,2
31268,2
38664,1
28067,17
3955,9
8113,15
52636,2
37603,17
77906,2
37052,17
57628,2
12914,2
60414,1
74305,2
26832,2
75541,8
6496,1
4659,2
39528,1
32499,17
75755,2
79770,3
24700,8
19201,9
78347,9
78499,17
2482,1
41171,2
59265,15
23340,2
10359,25
53829,2
17393,8
73273,1
66376,2
1524,1
58882,1
33032,9
82638,8
22252,2
57644,2
48112,17
80977,8
32821,9
16667,1
19373,1
53896,3
29815,2
52942,2
70113,8
26960,71
79638,2
16463,15
55714,17
7027,17
22132,1
35547,2
48281,2
12755,2
62586,31
7472,8
75697,1
38615,2
83700,1
968,2
55531,101
74129,2
40040,2
55096,139
5239,2
31529,9
73470,8
43477,2
72419,2
27130,3
45683,2
69694,8
65203,1
66703,165
50156,2
10550,11
52841,2
20724,9
60644,9
20378,1
14539,25
67796,8
71123,2
6422,71
5831,2
34552,2
12362,9
22439,1
16268,8
74713,8
75013,1
44364,3
29337,9
55947,25
55421,1
39415,17
66646,2
1016,9
10647,3
52605,9
61020,17
33551,2
65017,8
6255,8
74876,2
82890,9
83437,2
73929,1
26470,8
27283,1
75471,8
66486,2
82819,2
51548,31
46152,8
6826,71
75151,2
26818,2
42882,101
58868,2
36796,8
58382,8
38011,17
47365,71
16357,9
78210,2
34193,2
61144,9
46460,1
54405,17
12359,2
60628,3
